pupID,litter,sex,treatment,weight.challenge,weight,ch.weight,pch.weight,hr.post.challenge,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.overall,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right
R2_G7_2015.12.04,2,M,nc,3.68,4.34,0.66,17.93,23.83,v2,4,5,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
F1_G7_2015.12.23,5,F,ch-0.75,3.39,3.17,-0.22,-6.49,24.17,v2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
F2_G7_2015.12.23,5,M,ch-0.75,3.77,3.46,-0.31,-8.22,24.17,v2,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F3_G7_2015.12.23,5,M,ch-0.75,3.51,3.25,-0.26,-7.41,24.17,v2,4,5,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
F4_G7_2015.12.23,5,F,ch-0.75,2.98,2.8,-0.18,-6.04,24.17,v2,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
R1_G7_2015.12.23,5,F,ch-0.75,3.67,3.39,-0.28,-7.63,24.17,v2,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
R2_G7_2015.12.23,5,F,ch-0.75,3.64,3.42,-0.22,-6.04,24.17,v2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
R3_G7_2015.12.23,5,F,ch-0.75,2.98,2.76,-0.22,-7.38,24.17,v2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
R4_G7_2015.12.23,5,M,nc,3.83,4.12,0.29,7.57,24.17,v2,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
F1_G8_2015.12.08,3,F,ch-0.75,4.28,3.92,-0.36,-8.41,23.67,v2,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
F2_G8_2015.12.08,3,M,ch-0.75,4.53,4.14,-0.39,-8.61,23.67,v2,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
F3_G8_2015.12.08,3,F,ch-0.75,3.78,3.56,-0.22,-5.82,23.67,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R1_G8_2015.12.08,3,M,ch-0.75,4.36,4.05,-0.31,-7.11,23.67,v2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
R2_G8_2015.12.08,3,F,ch-0.75,4.24,3.87,-0.37,-8.73,23.67,v2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
R3_G8_2015.12.08,3,M,nc,4.3,4.92,0.62,14.42,23.67,v2,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F1_G8_2015.12.26,6,M,ch-0.75,5.01,5.15,0.14,2.79,23.83,v2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
F2_G8_2015.12.26,6,F,ch-0.75,5.29,4.65,-0.64,-12.10,23.83,v2,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
F3_G8_2015.12.26,6,M,ch-0.75,4.72,4.37,-0.35,-7.42,23.83,v2,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R1_G8_2015.12.26,6,F,ch-0.75,5.39,4.76,-0.63,-11.69,23.83,v2,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R2_G8_2015.12.26,6,M,nc,4.75,5.56,0.81,17.05,23.83,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F3_G9_2015.11.18,18,M,ch-0.85,4.34,3.87,-0.47,-10.83,17.75,v2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
F4_G9_2015.11.18,18,F,ch-0.85,4.28,3.77,-0.51,-11.92,17.75,v2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
R1_G9_2015.11.18,18,F,ch-0.85,4.55,4,-0.55,-12.09,17.75,v2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
R2_G9_2015.11.18,18,M,ch-0.85,4.28,3.84,-0.44,-10.28,17.75,v2,4,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
R3_G9_2015.11.18,18,F,nc,4.29,5.07,0.78,18.18,17.75,v2,7,7,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R4_G9_2015.11.18,18,M,nc,4.84,5.5,0.66,13.64,17.75,v2,7,7,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F1_G9_2015.12.09,4,F,ch-0.75,4.12,3.85,-0.27,-6.55,24.5,v2,7,5,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F2_G9_2015.12.09,4,M,ch-0.75,4.05,3.82,-0.23,-5.68,24.5,v2,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
F3_G9_2015.12.09,4,F,ch-0.75,4.34,4.02,-0.32,-7.37,24.5,v2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
R1_G9_2015.12.09,4,M,ch-0.75,4.33,4,-0.33,-7.62,24.5,v2,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R2_G9_2015.12.09,4,F,nc,3.86,4.33,0.47,12.18,24.5,v2,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
F1_G9_2015.12.28,1,F,ch-0.75,3.23,3.12,-0.11,-3.41,24,v2,7,7,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
F2_G9_2015.12.28,1,M,ch-0.75,3.83,3.53,-0.3,-7.83,24,v2,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
F3_G9_2015.12.28,1,F,ch-0.75,3.43,3.27,-0.16,-4.66,24,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
F4_G9_2015.12.28,1,M,ch-0.75,3.68,3.45,-0.23,-6.25,24,v2,7,7,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
R1_G9_2015.12.28,1,M,ch-0.75,3.82,3.57,-0.25,-6.54,24,v2,4,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
R2_G9_2015.12.28,1,F,ch-0.75,3.43,3.38,-0.05,-1.46,24,v2,6,6,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R3_G9_2015.12.28,1,M,ch-0.75,3.5,3.48,-0.02,-0.57,24,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
R4_G9_2015.12.28,1,F,nc,3.64,4.45,0.81,22.25,24,v2,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
