pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,v1.hr.post.challenge #hours post challenge at first observation,v1.score #score at first observation,v1.time #day and time of first observation,v1.weight #weight at first observation,v1.ch.weight # absolute weight change from challenge to v1,v1.pch.weight #percent weight change from challenge to v1,v2.hr.post.challenge,v2.score,v2.time,v2.weight,v2.ch.weight,v2.pch.weight,v3.hr.post.challenge,v3.score,v3.time,v3.weight,v3.ch.weight,v3.pch.weight,v4.hr.post.challenge,v4.score,v4.time,v4.weight,v4.ch.weight,v4.pch.weight,v5.hr.post.challenge,v5.score,v5.time,v5.weight,v5.ch.weight,v5.pch.weight,v6.hr.post.challenge,v6.score,v6.time,v6.weight,v6.ch.weight,v6.pch.weight,v7.hr.post.challenge,v7.score,v7.time,v7.weight,v7.ch.weight,v7.pch.weight,v8.hr.post.challenge,v8.score,v8.time,v8.weight,v8.ch.weight,v8.pch.weight,v9.hr.post.challenge,v9.score,v9.time,v9.weight,v9.ch.weight,v9.pch.weight,v10.hr.post.challenge,v10.score,v10.time,v10.weight,v10.ch.weight,v10.pch.weight,v11.hr.post.challenge,v11.score,v11.time,v11.weight,v11.ch.weight,v11.pch.weight,v12.hr.post.challenge,v12.score
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,live,2015.08.15 20:22,5.6,12.55,6,2015.08.16 08:55,5.49,0.11,1.964285714,16.38333333,4,2015.08.16 12:45,,,,21.43333333,6,2015.08.16 17:48,,,,26.38333333,4,2015.08.16 22:45,5.1,-0.5,-8.928571429,35.25,6,2015.08.17 07:37,4.79,-0.81,-14.46428571,40.6,6,2015.08.17 12:58,,,,45.01666667,6,2015.08.17 17:23 ,,,,49.63333333,8,2015.08.17 22:00,5.06,-0.54,-9.642857143,66.4,8,2015.08.18 14:46,5.25,-0.35,-6.25,96,8,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,die,2015.08.15 20:22,5.58,12.55,3,2015.08.16 08:55,5.55,0.03,0.537634409,16.38333333,6,2015.08.16 12:45,,,,21.43333333,6,2015.08.16 17:48,,,,26.38333333,6,2015.08.16 22:45,5.1,-0.48,-8.602150538,35.25,4,2015.08.17 07:37,4.91,-0.67,-12.00716846,40.6,0,2015.08.17 12:58,4.85,-0.73,-13.08243728,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,die,2015.08.15 20:22,5.19,12.55,6,2015.08.16 08:55,5.19,0,0,16.38333333,6,2015.08.16 12:45,,,,21.43333333,4,2015.08.16 17:48,,,,26.38333333,4,2015.08.16 22:45,4.83,-0.36,-6.936416185,35.25,6,2015.08.17 07:37,4.66,-0.53,-10.21194605,40.6,0,2015.08.17 12:58,4.6,-0.59,-11.36801541,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,live,2015.08.15 20:22,5.53,12.55,3,2015.08.16 08:55,5.45,0.08,1.446654611,16.38333333,6,2015.08.16 12:45,,,,21.43333333,6,2015.08.16 17:48,,,,26.38333333,8,2015.08.16 22:45,5.1,-0.43,-7.775768535,35.25,8,2015.08.17 07:37,5.19,-0.34,-6.148282098,40.6,6,2015.08.17 12:58,,,,45.01666667,6,2015.08.17 17:23 ,,,,49.63333333,8,2015.08.17 22:00,5.42,-0.11,-1.98915009,66.4,8,2015.08.18 14:46,5.82,0.29,5.244122966,96,8,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,4.83,12.55,3,2015.08.16 08:55,4.71,0.12,2.48447205,16.38333333,4,2015.08.16 12:45,,,,21.43333333,4,2015.08.16 17:48,,,,26.38333333,6,2015.08.16 22:45,4.37,-0.46,-9.523809524,35.25,6,2015.08.17 07:37,4.45,-0.38,-7.867494824,40.6,6,2015.08.17 12:58,,,,45.01666667,8,2015.08.17 17:23 ,,,,49.63333333,8,2015.08.17 22:00,4.63,-0.2,-4.140786749,66.4,8,2015.08.18 14:46,5,0.17,3.519668737,96,8,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,5.46,12.55,3,2015.08.16 08:55,5.34,0.12,2.197802198,16.38333333,3,2015.08.16 12:45,,,,21.43333333,6,2015.08.16 17:48,,,,26.38333333,8,2015.08.16 22:45,4.94,-0.52,-9.523809524,35.25,6,2015.08.17 07:37,5.1,-0.36,-6.593406593,40.6,6,2015.08.17 12:58,,,,45.01666667,6,2015.08.17 17:23 ,,,,49.63333333,8,2015.08.17 22:00,5.29,-0.17,-3.113553114,66.4,8,2015.08.18 14:46,5.61,0.15,2.747252747,96,8,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.20_G1_M2 (M)_saline.vacc_old.0.95,6,M,die,2015.08.28 18:25,4.76,13.33333333,2,2015.08.29 07:45,4.75,0.01,0.210084034,18.08333333,3,2015.08.29 12:30,,,,25.08333333,6,2015.08.29 19:30,4.5,-0.26,-5.462184874,29.08333333,0,2015.08.29 23:30,4.31,-0.45,-9.453781513,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.20_G1_M3 (M)_saline.vacc_old.0.95,6,M,die,2015.08.28 18:25,4.54,13.33333333,6,2015.08.29 07:45,4.55,-0.01,-0.220264317,18.08333333,6,2015.08.29 12:30,,,,25.08333333,0,2015.08.29 19:30,4.32,-0.22,-4.845814978,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
2015.08.20_G1_M4 (F)_saline.vacc_old.0.95,6,F,live,2015.08.28 18:25,4.54,13.33333333,6,2015.08.29 07:45,4.5,0.04,0.881057269,18.08333333,4,2015.08.29 12:30,,,,25.08333333,8,2015.08.29 19:30,4.24,-0.3,-6.607929515,29.08333333,6,2015.08.29 23:30,4.05,-0.49,-10.79295154,39.41666667,6,2015.08.30 09:50,3.84,-0.7,-15.4185022,42.41666667,6,2015.08.30 12:50,,,,47.58333333,6,2015.08.30 18:00,3.71,-0.83,-18.28193833,51.58333333,6,2015.08.30 22:00,3.65,-0.89,-19.60352423,61.41666667,6,2015.08.31 07:50,3.65,-0.89,-19.60352423,67.91666667,7,2015.08.31 14:20,3.51,-1.03,-22.68722467,96,8,,,,,NaN,NaN
2015.08.29_F1_M5 (M)_Sauton_old.0.95,7,M,die,2015.09.05 20:00,3.73,12.08333333,3,2015.09.06 08:05,3.76,-0.03,-0.804289544,16.25,4,2015.09.06 12:15,,,,21.5,6,2015.09.06 17:30,3.6,-0.13,-3.485254692,27.91666667,1,2015.09.06 23:55,3.49,-0.24,-6.434316354,38,0,2015.09.07 10:00,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN,,,,,NaN,NaN
