pupID #unique identifer for each mouse,litter #unique litter,sex,outcome,challenge.time #day and time mice were challenged,challenge.weight #weight of mice at challenge,vhr.post.challenge #hours post challenge at observation time,score #score at time of observation,time #day and time of first observation,weight #weight at  observation,v1.ch.weight # absolute weight change from challenge to v1,.pch.weight #percent weight change from challenge to current observation
2015.10.8_G3_M2 (M)_no.vaccination_new.0.85,19,M,live,2015.10.15 18:50,3.26,14.16666667,5,2015.10.16 09:00,3.21,0.05,1.533742331
2015.10.8_G3_M3 (F)_no.vaccination_new.0.85,19,F,live,2015.10.15 18:50,3.63,14.16666667,3,2015.10.16 09:00,3.68,-0.05,-1.377410468
2015.10.8_G3_M4 (M)_no.vaccination_new.0.85,19,M,die,2015.10.15 18:50,3.22,14.16666667,3,2015.10.16 09:00,3.23,-0.01,-0.310559006
2015.10.8_G3_M5 (F)_no.vaccination_new.0.85,19,F,die,2015.10.15 18:50,3.32,14.16666667,4,2015.10.16 09:00,3.37,-0.05,-1.506024096
2015.10.8_G3_M6 (F)_sauton_new.0.95,19,F,live,2015.10.15 18:50,2.51,14.16666667,6,2015.10.16 09:00,2.43,0.08,3.187250996
2015.10.8_G3_M7 (F)_sauton_new.0.95,19,F,die,2015.10.15 18:50,3.21,14.16666667,3,2015.10.16 09:00,3.23,-0.02,-0.62305296
2015.10.8_G3_M8 (M)_sauton_new.0.95,19,M,die,2015.10.15 18:50,3.57,14.16666667,6,2015.10.16 09:00,3.59,-0.02,-0.56022409
2015.10.8_G3_M9 (F)_sauton_new.0.95,19,F,die,2015.10.15 18:50,3.08,14.16666667,4,2015.10.16 09:00,3.09,-0.01,-0.324675325
2015.10.8_G3_M10 (M)_sauton_new.0.95,19,M,die,2015.10.15 18:50,3.39,14.16666667,5,2015.10.16 09:00,3.42,-0.03,-0.884955752
2015.11.09_G1_M5 (M)_Sauton_new.0.95,20,M,die,2015.11.16 17:20,4.07,13.75,2,2015.11.17 08:20,3.99,0.08,1.965601966
2015.11.09_G1_M6 (M)_Sauton_new.0.95,20,M,die,2015.11.16 17:20,4.08,13.75,2,2015.11.17 08:20,3.97,0.11,2.696078431
2015.11.09_G1_M7 (F)_Sauton_new.0.95,20,F,die,2015.11.16 17:20,3.96,13.75,4,2015.11.17 08:20,3.88,0.08,2.02020202
2015.11.09_G1_M8 (F)_Sauton_new.0.95,20,F,die,2015.11.16 17:20,3.95,13.75,6,2015.11.17 08:20,3.89,0.06,1.518987342
2015.11.10_G2_M1 (M)_Sauton_new.0.95,21,M,live,2015.11.18 17:55,3.23,14,6,2015.11.19 8:35,3.09,0.14,4.334365325
2015.11.10_G2_M3 (M)_Sauton_new.0.95,21,M,die,2015.11.18 17:55,3.17,14,2,2015.11.19 8:35,3.17,0,0
2015.11.10_G2_M4 (F)_Sauton_new.0.95,21,F,die,2015.11.18 17:55,3.4,14,4,2015.11.19 8:35,3.43,-0.03,-0.882352941
2015.11.10_G3_M5 (F)_Sauton_new.0.95,22,F,die,2015.11.19 18:10,3.8,14.25,2,2015.11.20 8:25,3.62,0.18,4.736842105
2015.11.10_G3_M6 (M)_Sauton_new.0.95,22,M,die,2015.11.19 18:10,3.82,14.25,2,2015.11.20 8:25,3.74,0.08,2.094240838
2015.11.10_G3_M7 (F)_Sauton_new.0.95,22,F,die,2015.11.19 18:10,3.86,14.25,2,2015.11.20 8:25,3.73,0.13,3.367875648
2015.11.30_G4_M1 (F)_Sauton_new.0.95,23,F,die,2015.12.07 17:55,3.61,15.16666667,4,2015.12.08 9:05,3.48,0.13,3.601108033
