pupID,litter,sex,outcome,challenge.time,weight.challenge,weight,ch.weight,pch.weight,time,hr.post.challenge ,visit,score.overall,score.left,score.right,rights.mobile.overall,rights.shakey.overall,rights.lethargic.overall,rights.nonmobile.overall,ftr.one.side.overall,ftr.mobile.hips.over,ftr.lethargic.hips.overall,ftr.lethargic.two.visits.overall,ftr.nonmobile.hips.overall,rights.mobile.left,rights.shakey.left,rights.lethargic.left,rights.nonmobile.left,rights.only.left,ftr.mobile.hips.left,ftr.lethargic.hips.left,ftr.lethargic.two.visits.left,ftr.nonmobile.hips.left,rights.mobile.right,rights.shakey.right,rights.lethargic.right,rights.nonmobile.right,rightss.only.right,ftr.mobile.hips.right,ftr.lethargic.hips.right,ftr.lethargic.two.visits.right,ftr.nonmobile.hips.right,obs.found.dead,observations
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,5.15,5.08,0.07,1.359223301,2015.08.16 08:41,12.76666667,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,5.15,,,,2015.08.16 12:30,16.58333333,v2,4,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F6_M5 (M)_saline.vacc_old.0.8,4,M,live,2015.08.15 19:55,5.15,,,,2015.08.16 17:40,21.75,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.99,4.88,0.11,2.204408818,2015.08.16 08:41,12.76666667,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.99,,,,2015.08.16 12:30,16.58333333,v2,4,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,
2015.08.07_F6_M6 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.99,,,,2015.08.16 17:40,21.75,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.89,4.74,0.15,3.067484663,2015.08.16 08:41,12.76666667,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.89,,,,2015.08.16 12:30,16.58333333,v2,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F6_M7 (F)_saline.vacc_old.0.8,4,F,live,2015.08.15 19:55,4.89,,,,2015.08.16 17:40,21.75,v3,8,8,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,live,2015.08.15 20:22,5.6,5.49,0.11,1.964285714,2015.08.16 08:55,12.55,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,live,2015.08.15 20:22,5.6,,,,2015.08.16 12:45,16.38333333,v2,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M1 (M)_saline.vacc_old.0.95,5,M,live,2015.08.15 20:22,5.6,,,,2015.08.16 17:48,21.43333333,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,found.dead,2015.08.15 20:22,5.58,5.55,0.03,0.537634409,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,found.dead,2015.08.15 20:22,5.58,,,,2015.08.16 12:45,16.38333333,v2,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M2 (M)_saline.vacc_old.0.95,5,M,found.dead,2015.08.15 20:22,5.58,,,,2015.08.16 17:48,21.43333333,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,found.dead,2015.08.15 20:22,5.19,5.19,0,0,2015.08.16 08:55,12.55,v1,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,found.dead,2015.08.15 20:22,5.19,,,,2015.08.16 12:45,16.38333333,v2,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M3 (F)_saline.vacc_old.0.95,5,F,found.dead,2015.08.15 20:22,5.19,,,,2015.08.16 17:48,21.43333333,v3,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,live,2015.08.15 20:22,5.53,5.45,0.08,1.446654611,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,live,2015.08.15 20:22,5.53,,,,2015.08.16 12:45,16.38333333,v2,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M4 (M)_saline.vacc_old.0.8,5,M,live,2015.08.15 20:22,5.53,,,,2015.08.16 17:48,21.43333333,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,4.83,4.71,0.12,2.48447205,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,4.83,,,,2015.08.16 12:45,16.38333333,v2,4,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,
2015.08.07_F8_M6 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,4.83,,,,2015.08.16 17:48,21.43333333,v3,4,6,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,5.46,5.34,0.12,2.197802198,2015.08.16 08:55,12.55,v1,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,5.46,,,,2015.08.16 12:45,16.38333333,v2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
2015.08.07_F8_M7 (F)_saline.vacc_old.0.8,5,F,live,2015.08.15 20:22,5.46,,,,2015.08.16 17:48,21.43333333,v3,6,6,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
